nohup: ignoring input
[Ideal_FP32 | Seed 0] Epoch 1/30 - Acc: 0.8672
[Ideal_FP32 | Seed 0] Epoch 2/30 - Acc: 0.9045
[Ideal_FP32 | Seed 0] Epoch 3/30 - Acc: 0.9168
[Ideal_FP32 | Seed 0] Epoch 4/30 - Acc: 0.9246
[Ideal_FP32 | Seed 0] Epoch 5/30 - Acc: 0.9294
[Ideal_FP32 | Seed 0] Epoch 6/30 - Acc: 0.9344
[Ideal_FP32 | Seed 0] Epoch 7/30 - Acc: 0.9371
[Ideal_FP32 | Seed 0] Epoch 8/30 - Acc: 0.9416
[Ideal_FP32 | Seed 0] Epoch 9/30 - Acc: 0.9430
[Ideal_FP32 | Seed 0] Epoch 10/30 - Acc: 0.9457
[Ideal_FP32 | Seed 0] Epoch 11/30 - Acc: 0.9475
[Ideal_FP32 | Seed 0] Epoch 12/30 - Acc: 0.9493
[Ideal_FP32 | Seed 0] Epoch 13/30 - Acc: 0.9507
[Ideal_FP32 | Seed 0] Epoch 14/30 - Acc: 0.9531
[Ideal_FP32 | Seed 0] Epoch 15/30 - Acc: 0.9539
[Ideal_FP32 | Seed 0] Epoch 16/30 - Acc: 0.9518
[Ideal_FP32 | Seed 0] Epoch 17/30 - Acc: 0.9562
[Ideal_FP32 | Seed 0] Epoch 18/30 - Acc: 0.9543
[Ideal_FP32 | Seed 0] Epoch 19/30 - Acc: 0.9571
[Ideal_FP32 | Seed 0] Epoch 20/30 - Acc: 0.9580
[Ideal_FP32 | Seed 0] Epoch 21/30 - Acc: 0.9586
[Ideal_FP32 | Seed 0] Epoch 22/30 - Acc: 0.9586
[Ideal_FP32 | Seed 0] Epoch 23/30 - Acc: 0.9599
[Ideal_FP32 | Seed 0] Epoch 24/30 - Acc: 0.9627
[Ideal_FP32 | Seed 0] Epoch 25/30 - Acc: 0.9606
[Ideal_FP32 | Seed 0] Epoch 26/30 - Acc: 0.9624
[Ideal_FP32 | Seed 0] Epoch 27/30 - Acc: 0.9612
[Ideal_FP32 | Seed 0] Epoch 28/30 - Acc: 0.9624
[Ideal_FP32 | Seed 0] Epoch 29/30 - Acc: 0.9630
[Ideal_FP32 | Seed 0] Epoch 30/30 - Acc: 0.9614
[Ideal_FP32 | Seed 1] Epoch 1/30 - Acc: 0.8687
[Ideal_FP32 | Seed 1] Epoch 2/30 - Acc: 0.9074
[Ideal_FP32 | Seed 1] Epoch 3/30 - Acc: 0.9218
[Ideal_FP32 | Seed 1] Epoch 4/30 - Acc: 0.9279
[Ideal_FP32 | Seed 1] Epoch 5/30 - Acc: 0.9344
[Ideal_FP32 | Seed 1] Epoch 6/30 - Acc: 0.9372
[Ideal_FP32 | Seed 1] Epoch 7/30 - Acc: 0.9429
[Ideal_FP32 | Seed 1] Epoch 8/30 - Acc: 0.9465
[Ideal_FP32 | Seed 1] Epoch 9/30 - Acc: 0.9482
[Ideal_FP32 | Seed 1] Epoch 10/30 - Acc: 0.9512
[Ideal_FP32 | Seed 1] Epoch 11/30 - Acc: 0.9523
[Ideal_FP32 | Seed 1] Epoch 12/30 - Acc: 0.9552
[Ideal_FP32 | Seed 1] Epoch 13/30 - Acc: 0.9553
[Ideal_FP32 | Seed 1] Epoch 14/30 - Acc: 0.9555
[Ideal_FP32 | Seed 1] Epoch 15/30 - Acc: 0.9572
[Ideal_FP32 | Seed 1] Epoch 16/30 - Acc: 0.9568
[Ideal_FP32 | Seed 1] Epoch 17/30 - Acc: 0.9587
[Ideal_FP32 | Seed 1] Epoch 18/30 - Acc: 0.9599
[Ideal_FP32 | Seed 1] Epoch 19/30 - Acc: 0.9592
[Ideal_FP32 | Seed 1] Epoch 20/30 - Acc: 0.9610
[Ideal_FP32 | Seed 1] Epoch 21/30 - Acc: 0.9608
[Ideal_FP32 | Seed 1] Epoch 22/30 - Acc: 0.9624
[Ideal_FP32 | Seed 1] Epoch 23/30 - Acc: 0.9622
[Ideal_FP32 | Seed 1] Epoch 24/30 - Acc: 0.9634
[Ideal_FP32 | Seed 1] Epoch 25/30 - Acc: 0.9618
[Ideal_FP32 | Seed 1] Epoch 26/30 - Acc: 0.9636
[Ideal_FP32 | Seed 1] Epoch 27/30 - Acc: 0.9639
[Ideal_FP32 | Seed 1] Epoch 28/30 - Acc: 0.9629
[Ideal_FP32 | Seed 1] Epoch 29/30 - Acc: 0.9630
[Ideal_FP32 | Seed 1] Epoch 30/30 - Acc: 0.9666
[Ideal_FP32 | Seed 2] Epoch 1/30 - Acc: 0.7903
[Ideal_FP32 | Seed 2] Epoch 2/30 - Acc: 0.8178
[Ideal_FP32 | Seed 2] Epoch 3/30 - Acc: 0.8296
[Ideal_FP32 | Seed 2] Epoch 4/30 - Acc: 0.8377
[Ideal_FP32 | Seed 2] Epoch 5/30 - Acc: 0.8421
[Ideal_FP32 | Seed 2] Epoch 6/30 - Acc: 0.8481
[Ideal_FP32 | Seed 2] Epoch 7/30 - Acc: 0.8478
[Ideal_FP32 | Seed 2] Epoch 8/30 - Acc: 0.9428
[Ideal_FP32 | Seed 2] Epoch 9/30 - Acc: 0.9458
[Ideal_FP32 | Seed 2] Epoch 10/30 - Acc: 0.9461
[Ideal_FP32 | Seed 2] Epoch 11/30 - Acc: 0.9496
[Ideal_FP32 | Seed 2] Epoch 12/30 - Acc: 0.9520
[Ideal_FP32 | Seed 2] Epoch 13/30 - Acc: 0.9538
[Ideal_FP32 | Seed 2] Epoch 14/30 - Acc: 0.9549
[Ideal_FP32 | Seed 2] Epoch 15/30 - Acc: 0.9564
[Ideal_FP32 | Seed 2] Epoch 16/30 - Acc: 0.9582
[Ideal_FP32 | Seed 2] Epoch 17/30 - Acc: 0.9580
[Ideal_FP32 | Seed 2] Epoch 18/30 - Acc: 0.9595
[Ideal_FP32 | Seed 2] Epoch 19/30 - Acc: 0.9598
[Ideal_FP32 | Seed 2] Epoch 20/30 - Acc: 0.9603
[Ideal_FP32 | Seed 2] Epoch 21/30 - Acc: 0.9607
[Ideal_FP32 | Seed 2] Epoch 22/30 - Acc: 0.9644
[Ideal_FP32 | Seed 2] Epoch 23/30 - Acc: 0.9621
[Ideal_FP32 | Seed 2] Epoch 24/30 - Acc: 0.9625
[Ideal_FP32 | Seed 2] Epoch 25/30 - Acc: 0.9628
[Ideal_FP32 | Seed 2] Epoch 26/30 - Acc: 0.9629
[Ideal_FP32 | Seed 2] Epoch 27/30 - Acc: 0.9636
[Ideal_FP32 | Seed 2] Epoch 28/30 - Acc: 0.9646
[Ideal_FP32 | Seed 2] Epoch 29/30 - Acc: 0.9636
[Ideal_FP32 | Seed 2] Epoch 30/30 - Acc: 0.9636
[Ideal_FP32 | Seed 3] Epoch 1/30 - Acc: 0.8021
[Ideal_FP32 | Seed 3] Epoch 2/30 - Acc: 0.8275
[Ideal_FP32 | Seed 3] Epoch 3/30 - Acc: 0.8346
[Ideal_FP32 | Seed 3] Epoch 4/30 - Acc: 0.8411
[Ideal_FP32 | Seed 3] Epoch 5/30 - Acc: 0.8490
[Ideal_FP32 | Seed 3] Epoch 6/30 - Acc: 0.8500
[Ideal_FP32 | Seed 3] Epoch 7/30 - Acc: 0.9395
[Ideal_FP32 | Seed 3] Epoch 8/30 - Acc: 0.9433
[Ideal_FP32 | Seed 3] Epoch 9/30 - Acc: 0.9455
[Ideal_FP32 | Seed 3] Epoch 10/30 - Acc: 0.9472
[Ideal_FP32 | Seed 3] Epoch 11/30 - Acc: 0.9505
[Ideal_FP32 | Seed 3] Epoch 12/30 - Acc: 0.9522
[Ideal_FP32 | Seed 3] Epoch 13/30 - Acc: 0.9547
[Ideal_FP32 | Seed 3] Epoch 14/30 - Acc: 0.9531
[Ideal_FP32 | Seed 3] Epoch 15/30 - Acc: 0.9543
[Ideal_FP32 | Seed 3] Epoch 16/30 - Acc: 0.9552
[Ideal_FP32 | Seed 3] Epoch 17/30 - Acc: 0.9574
[Ideal_FP32 | Seed 3] Epoch 18/30 - Acc: 0.9570
[Ideal_FP32 | Seed 3] Epoch 19/30 - Acc: 0.9589
[Ideal_FP32 | Seed 3] Epoch 20/30 - Acc: 0.9601
[Ideal_FP32 | Seed 3] Epoch 21/30 - Acc: 0.9599
[Ideal_FP32 | Seed 3] Epoch 22/30 - Acc: 0.9617
[Ideal_FP32 | Seed 3] Epoch 23/30 - Acc: 0.9607
[Ideal_FP32 | Seed 3] Epoch 24/30 - Acc: 0.9626
[Ideal_FP32 | Seed 3] Epoch 25/30 - Acc: 0.9643
[Ideal_FP32 | Seed 3] Epoch 26/30 - Acc: 0.9630
[Ideal_FP32 | Seed 3] Epoch 27/30 - Acc: 0.9631
[Ideal_FP32 | Seed 3] Epoch 28/30 - Acc: 0.9627
[Ideal_FP32 | Seed 3] Epoch 29/30 - Acc: 0.9640
[Ideal_FP32 | Seed 3] Epoch 30/30 - Acc: 0.9652
[Ideal_FP32 | Seed 4] Epoch 1/30 - Acc: 0.8694
[Ideal_FP32 | Seed 4] Epoch 2/30 - Acc: 0.9039
[Ideal_FP32 | Seed 4] Epoch 3/30 - Acc: 0.9171
[Ideal_FP32 | Seed 4] Epoch 4/30 - Acc: 0.9245
[Ideal_FP32 | Seed 4] Epoch 5/30 - Acc: 0.9314
[Ideal_FP32 | Seed 4] Epoch 6/30 - Acc: 0.9365
[Ideal_FP32 | Seed 4] Epoch 7/30 - Acc: 0.9390
[Ideal_FP32 | Seed 4] Epoch 8/30 - Acc: 0.9423
[Ideal_FP32 | Seed 4] Epoch 9/30 - Acc: 0.9452
[Ideal_FP32 | Seed 4] Epoch 10/30 - Acc: 0.9498
[Ideal_FP32 | Seed 4] Epoch 11/30 - Acc: 0.9516
[Ideal_FP32 | Seed 4] Epoch 12/30 - Acc: 0.9521
[Ideal_FP32 | Seed 4] Epoch 13/30 - Acc: 0.9504
[Ideal_FP32 | Seed 4] Epoch 14/30 - Acc: 0.9534
[Ideal_FP32 | Seed 4] Epoch 15/30 - Acc: 0.9545
[Ideal_FP32 | Seed 4] Epoch 16/30 - Acc: 0.9579
[Ideal_FP32 | Seed 4] Epoch 17/30 - Acc: 0.9582
[Ideal_FP32 | Seed 4] Epoch 18/30 - Acc: 0.9581
[Ideal_FP32 | Seed 4] Epoch 19/30 - Acc: 0.9601
[Ideal_FP32 | Seed 4] Epoch 20/30 - Acc: 0.9609
[Ideal_FP32 | Seed 4] Epoch 21/30 - Acc: 0.9619
[Ideal_FP32 | Seed 4] Epoch 22/30 - Acc: 0.9622
[Ideal_FP32 | Seed 4] Epoch 23/30 - Acc: 0.9628
[Ideal_FP32 | Seed 4] Epoch 24/30 - Acc: 0.9651
[Ideal_FP32 | Seed 4] Epoch 25/30 - Acc: 0.9641
[Ideal_FP32 | Seed 4] Epoch 26/30 - Acc: 0.9640
[Ideal_FP32 | Seed 4] Epoch 27/30 - Acc: 0.9651
[Ideal_FP32 | Seed 4] Epoch 28/30 - Acc: 0.9647
[Ideal_FP32 | Seed 4] Epoch 29/30 - Acc: 0.9644
