nohup: ignoring input
[Ideal_FP32 | Seed 0] Epoch 1/100 - Acc: 0.8672
[Ideal_FP32 | Seed 0] Epoch 2/100 - Acc: 0.9045
[Ideal_FP32 | Seed 0] Epoch 3/100 - Acc: 0.9168
[Ideal_FP32 | Seed 0] Epoch 4/100 - Acc: 0.9246
[Ideal_FP32 | Seed 0] Epoch 5/100 - Acc: 0.9294
[Ideal_FP32 | Seed 0] Epoch 6/100 - Acc: 0.9344
[Ideal_FP32 | Seed 0] Epoch 7/100 - Acc: 0.9371
[Ideal_FP32 | Seed 0] Epoch 8/100 - Acc: 0.9416
[Ideal_FP32 | Seed 0] Epoch 9/100 - Acc: 0.9430
[Ideal_FP32 | Seed 0] Epoch 10/100 - Acc: 0.9457
[Ideal_FP32 | Seed 0] Epoch 11/100 - Acc: 0.9475
[Ideal_FP32 | Seed 0] Epoch 12/100 - Acc: 0.9493
[Ideal_FP32 | Seed 0] Epoch 13/100 - Acc: 0.9507
[Ideal_FP32 | Seed 0] Epoch 14/100 - Acc: 0.9531
[Ideal_FP32 | Seed 0] Epoch 15/100 - Acc: 0.9539
[Ideal_FP32 | Seed 0] Epoch 16/100 - Acc: 0.9518
[Ideal_FP32 | Seed 0] Epoch 17/100 - Acc: 0.9562
[Ideal_FP32 | Seed 0] Epoch 18/100 - Acc: 0.9543
[Ideal_FP32 | Seed 0] Epoch 19/100 - Acc: 0.9571
[Ideal_FP32 | Seed 0] Epoch 20/100 - Acc: 0.9580
[Ideal_FP32 | Seed 0] Epoch 21/100 - Acc: 0.9586
[Ideal_FP32 | Seed 0] Epoch 22/100 - Acc: 0.9586
[Ideal_FP32 | Seed 0] Epoch 23/100 - Acc: 0.9599
[Ideal_FP32 | Seed 0] Epoch 24/100 - Acc: 0.9627
[Ideal_FP32 | Seed 0] Epoch 25/100 - Acc: 0.9606
[Ideal_FP32 | Seed 0] Epoch 26/100 - Acc: 0.9624
[Ideal_FP32 | Seed 0] Epoch 27/100 - Acc: 0.9612
[Ideal_FP32 | Seed 0] Epoch 28/100 - Acc: 0.9624
[Ideal_FP32 | Seed 0] Epoch 29/100 - Acc: 0.9630
[Ideal_FP32 | Seed 0] Epoch 30/100 - Acc: 0.9614
[Ideal_FP32 | Seed 0] Epoch 31/100 - Acc: 0.9641
[Ideal_FP32 | Seed 0] Epoch 32/100 - Acc: 0.9642
[Ideal_FP32 | Seed 0] Epoch 33/100 - Acc: 0.9647
[Ideal_FP32 | Seed 0] Epoch 34/100 - Acc: 0.9654
[Ideal_FP32 | Seed 0] Epoch 35/100 - Acc: 0.9644
[Ideal_FP32 | Seed 0] Epoch 36/100 - Acc: 0.9639
[Ideal_FP32 | Seed 0] Epoch 37/100 - Acc: 0.9640
[Ideal_FP32 | Seed 0] Epoch 38/100 - Acc: 0.9651
[Ideal_FP32 | Seed 0] Epoch 39/100 - Acc: 0.9663
[Ideal_FP32 | Seed 0] Epoch 40/100 - Acc: 0.9660
[Ideal_FP32 | Seed 0] Epoch 41/100 - Acc: 0.9665
[Ideal_FP32 | Seed 0] Epoch 42/100 - Acc: 0.9660
[Ideal_FP32 | Seed 0] Epoch 43/100 - Acc: 0.9673
[Ideal_FP32 | Seed 0] Epoch 44/100 - Acc: 0.9671
[Ideal_FP32 | Seed 0] Epoch 45/100 - Acc: 0.9662
[Ideal_FP32 | Seed 0] Epoch 46/100 - Acc: 0.9674
[Ideal_FP32 | Seed 0] Epoch 47/100 - Acc: 0.9677
[Ideal_FP32 | Seed 0] Epoch 48/100 - Acc: 0.9662
[Ideal_FP32 | Seed 0] Epoch 49/100 - Acc: 0.9676
[Ideal_FP32 | Seed 0] Epoch 50/100 - Acc: 0.9667
[Ideal_FP32 | Seed 0] Epoch 51/100 - Acc: 0.9664
[Ideal_FP32 | Seed 0] Epoch 52/100 - Acc: 0.9668
[Ideal_FP32 | Seed 0] Epoch 53/100 - Acc: 0.9673
[Ideal_FP32 | Seed 0] Epoch 54/100 - Acc: 0.9681
[Ideal_FP32 | Seed 0] Epoch 55/100 - Acc: 0.9670
[Ideal_FP32 | Seed 0] Epoch 56/100 - Acc: 0.9681
[Ideal_FP32 | Seed 0] Epoch 57/100 - Acc: 0.9679
[Ideal_FP32 | Seed 0] Epoch 58/100 - Acc: 0.9691
[Ideal_FP32 | Seed 0] Epoch 59/100 - Acc: 0.9688
[Ideal_FP32 | Seed 0] Epoch 60/100 - Acc: 0.9684
[Ideal_FP32 | Seed 0] Epoch 61/100 - Acc: 0.9690
[Ideal_FP32 | Seed 0] Epoch 62/100 - Acc: 0.9685
[Ideal_FP32 | Seed 0] Epoch 63/100 - Acc: 0.9697
[Ideal_FP32 | Seed 0] Epoch 64/100 - Acc: 0.9676
[Ideal_FP32 | Seed 0] Epoch 65/100 - Acc: 0.9668
[Ideal_FP32 | Seed 0] Epoch 66/100 - Acc: 0.9682
[Ideal_FP32 | Seed 0] Epoch 67/100 - Acc: 0.9674
[Ideal_FP32 | Seed 0] Epoch 68/100 - Acc: 0.9696
[Ideal_FP32 | Seed 0] Epoch 69/100 - Acc: 0.9694
[Ideal_FP32 | Seed 0] Epoch 70/100 - Acc: 0.9683
[Ideal_FP32 | Seed 0] Epoch 71/100 - Acc: 0.9698
[Ideal_FP32 | Seed 0] Epoch 72/100 - Acc: 0.9691
[Ideal_FP32 | Seed 0] Epoch 73/100 - Acc: 0.9687
[Ideal_FP32 | Seed 0] Epoch 74/100 - Acc: 0.9695
[Ideal_FP32 | Seed 0] Epoch 75/100 - Acc: 0.9692
[Ideal_FP32 | Seed 0] Epoch 76/100 - Acc: 0.9694
[Ideal_FP32 | Seed 0] Epoch 77/100 - Acc: 0.9706
[Ideal_FP32 | Seed 0] Epoch 78/100 - Acc: 0.9689
[Ideal_FP32 | Seed 0] Epoch 79/100 - Acc: 0.9703
[Ideal_FP32 | Seed 0] Epoch 80/100 - Acc: 0.9684
[Ideal_FP32 | Seed 0] Epoch 81/100 - Acc: 0.9678
[Ideal_FP32 | Seed 0] Epoch 82/100 - Acc: 0.9695
[Ideal_FP32 | Seed 0] Epoch 83/100 - Acc: 0.9695
[Ideal_FP32 | Seed 0] Epoch 84/100 - Acc: 0.9700
[Ideal_FP32 | Seed 0] Epoch 85/100 - Acc: 0.9693
[Ideal_FP32 | Seed 0] Epoch 86/100 - Acc: 0.9692
[Ideal_FP32 | Seed 0] Epoch 87/100 - Acc: 0.9698
[Ideal_FP32 | Seed 0] Epoch 88/100 - Acc: 0.9700
[Ideal_FP32 | Seed 0] Epoch 89/100 - Acc: 0.9701
[Ideal_FP32 | Seed 0] Epoch 90/100 - Acc: 0.9678
[Ideal_FP32 | Seed 0] Epoch 91/100 - Acc: 0.9686
[Ideal_FP32 | Seed 0] Epoch 92/100 - Acc: 0.9685
[Ideal_FP32 | Seed 0] Epoch 93/100 - Acc: 0.9682
[Ideal_FP32 | Seed 0] Epoch 94/100 - Acc: 0.9680
[Ideal_FP32 | Seed 0] Epoch 95/100 - Acc: 0.9671
[Ideal_FP32 | Seed 0] Epoch 96/100 - Acc: 0.9701
[Ideal_FP32 | Seed 0] Epoch 97/100 - Acc: 0.9689
[Ideal_FP32 | Seed 0] Epoch 98/100 - Acc: 0.9691
[Ideal_FP32 | Seed 0] Epoch 99/100 - Acc: 0.9697
[Ideal_FP32 | Seed 0] Epoch 100/100 - Acc: 0.9697
[Ideal_FP32 | Seed 1] Epoch 1/100 - Acc: 0.8687
[Ideal_FP32 | Seed 1] Epoch 2/100 - Acc: 0.9074
[Ideal_FP32 | Seed 1] Epoch 3/100 - Acc: 0.9218
[Ideal_FP32 | Seed 1] Epoch 4/100 - Acc: 0.9279
[Ideal_FP32 | Seed 1] Epoch 5/100 - Acc: 0.9344
[Ideal_FP32 | Seed 1] Epoch 6/100 - Acc: 0.9372
[Ideal_FP32 | Seed 1] Epoch 7/100 - Acc: 0.9429
[Ideal_FP32 | Seed 1] Epoch 8/100 - Acc: 0.9465
[Ideal_FP32 | Seed 1] Epoch 9/100 - Acc: 0.9482
[Ideal_FP32 | Seed 1] Epoch 10/100 - Acc: 0.9512
[Ideal_FP32 | Seed 1] Epoch 11/100 - Acc: 0.9523
[Ideal_FP32 | Seed 1] Epoch 12/100 - Acc: 0.9552
[Ideal_FP32 | Seed 1] Epoch 13/100 - Acc: 0.9553
[Ideal_FP32 | Seed 1] Epoch 14/100 - Acc: 0.9555
[Ideal_FP32 | Seed 1] Epoch 15/100 - Acc: 0.9572
[Ideal_FP32 | Seed 1] Epoch 16/100 - Acc: 0.9568
[Ideal_FP32 | Seed 1] Epoch 17/100 - Acc: 0.9587
[Ideal_FP32 | Seed 1] Epoch 18/100 - Acc: 0.9599
[Ideal_FP32 | Seed 1] Epoch 19/100 - Acc: 0.9592
[Ideal_FP32 | Seed 1] Epoch 20/100 - Acc: 0.9610
[Ideal_FP32 | Seed 1] Epoch 21/100 - Acc: 0.9608
