nohup: ignoring input
  0%|                                                                                                                                     | 0.00/9.91M [00:00<?, ?B/s]  7%|█████████                                                                                                                    | 721k/9.91M [00:00<00:01, 7.19MB/s] 80%|██████████████████████████████████████████████████████████████████████████████████████████████████▊                         | 7.90M/9.91M [00:00<00:00, 44.5MB/s]100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9.91M/9.91M [00:00<00:00, 41.0MB/s]
  0%|                                                                                                                                     | 0.00/28.9k [00:00<?, ?B/s]100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 28.9k/28.9k [00:00<00:00, 1.45MB/s]
  0%|                                                                                                                                     | 0.00/1.65M [00:00<?, ?B/s] 46%|█████████████████████████████████████████████████████████▏                                                                   | 754k/1.65M [00:00<00:00, 7.22MB/s]100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1.65M/1.65M [00:00<00:00, 12.8MB/s]
  0%|                                                                                                                                     | 0.00/4.54k [00:00<?, ?B/s]100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4.54k/4.54k [00:00<00:00, 11.0MB/s]
[Ideal_FP32 | Seed 0] Epoch 1/30 - Acc: 0.7603
[Ideal_FP32 | Seed 0] Epoch 2/30 - Acc: 0.8751
[Ideal_FP32 | Seed 0] Epoch 3/30 - Acc: 0.9060
[Ideal_FP32 | Seed 0] Epoch 4/30 - Acc: 0.9144
[Ideal_FP32 | Seed 0] Epoch 5/30 - Acc: 0.9225
[Ideal_FP32 | Seed 0] Epoch 6/30 - Acc: 0.9260
[Ideal_FP32 | Seed 0] Epoch 7/30 - Acc: 0.9287
[Ideal_FP32 | Seed 0] Epoch 8/30 - Acc: 0.9352
[Ideal_FP32 | Seed 0] Epoch 9/30 - Acc: 0.9372
[Ideal_FP32 | Seed 0] Epoch 10/30 - Acc: 0.9417
[Ideal_FP32 | Seed 0] Epoch 11/30 - Acc: 0.9411
[Ideal_FP32 | Seed 0] Epoch 12/30 - Acc: 0.9436
[Ideal_FP32 | Seed 0] Epoch 13/30 - Acc: 0.9464
[Ideal_FP32 | Seed 0] Epoch 14/30 - Acc: 0.9474
[Ideal_FP32 | Seed 0] Epoch 15/30 - Acc: 0.9496
[Ideal_FP32 | Seed 0] Epoch 16/30 - Acc: 0.9494
[Ideal_FP32 | Seed 0] Epoch 17/30 - Acc: 0.9517
[Ideal_FP32 | Seed 0] Epoch 18/30 - Acc: 0.9531
[Ideal_FP32 | Seed 0] Epoch 19/30 - Acc: 0.9545
[Ideal_FP32 | Seed 0] Epoch 20/30 - Acc: 0.9539
[Ideal_FP32 | Seed 0] Epoch 21/30 - Acc: 0.9545
[Ideal_FP32 | Seed 0] Epoch 22/30 - Acc: 0.9551
[Ideal_FP32 | Seed 0] Epoch 23/30 - Acc: 0.9557
[Ideal_FP32 | Seed 0] Epoch 24/30 - Acc: 0.9570
[Ideal_FP32 | Seed 0] Epoch 25/30 - Acc: 0.9569
[Ideal_FP32 | Seed 0] Epoch 26/30 - Acc: 0.9554
[Ideal_FP32 | Seed 0] Epoch 27/30 - Acc: 0.9566
[Ideal_FP32 | Seed 0] Epoch 28/30 - Acc: 0.9579
[Ideal_FP32 | Seed 0] Epoch 29/30 - Acc: 0.9606
[Ideal_FP32 | Seed 0] Epoch 30/30 - Acc: 0.9596
[Ideal_FP32 | Seed 1] Epoch 1/30 - Acc: 0.8204
[Ideal_FP32 | Seed 1] Epoch 2/30 - Acc: 0.8810
[Ideal_FP32 | Seed 1] Epoch 3/30 - Acc: 0.9028
[Ideal_FP32 | Seed 1] Epoch 4/30 - Acc: 0.9147
[Ideal_FP32 | Seed 1] Epoch 5/30 - Acc: 0.9235
[Ideal_FP32 | Seed 1] Epoch 6/30 - Acc: 0.9304
[Ideal_FP32 | Seed 1] Epoch 7/30 - Acc: 0.9323
[Ideal_FP32 | Seed 1] Epoch 8/30 - Acc: 0.9360
[Ideal_FP32 | Seed 1] Epoch 9/30 - Acc: 0.9394
[Ideal_FP32 | Seed 1] Epoch 10/30 - Acc: 0.9406
[Ideal_FP32 | Seed 1] Epoch 11/30 - Acc: 0.9430
[Ideal_FP32 | Seed 1] Epoch 12/30 - Acc: 0.9446
[Ideal_FP32 | Seed 1] Epoch 13/30 - Acc: 0.9443
[Ideal_FP32 | Seed 1] Epoch 14/30 - Acc: 0.9488
[Ideal_FP32 | Seed 1] Epoch 15/30 - Acc: 0.9491
[Ideal_FP32 | Seed 1] Epoch 16/30 - Acc: 0.9500
[Ideal_FP32 | Seed 1] Epoch 17/30 - Acc: 0.9507
[Ideal_FP32 | Seed 1] Epoch 18/30 - Acc: 0.9510
[Ideal_FP32 | Seed 1] Epoch 19/30 - Acc: 0.9526
[Ideal_FP32 | Seed 1] Epoch 20/30 - Acc: 0.9531
