nohup: ignoring input
[Ideal_FP32 | Seed 0] Epoch 1/100 - Acc: 0.7603
[Ideal_FP32 | Seed 0] Epoch 2/100 - Acc: 0.8751
[Ideal_FP32 | Seed 0] Epoch 3/100 - Acc: 0.9060
[Ideal_FP32 | Seed 0] Epoch 4/100 - Acc: 0.9144
[Ideal_FP32 | Seed 0] Epoch 5/100 - Acc: 0.9225
[Ideal_FP32 | Seed 0] Epoch 6/100 - Acc: 0.9260
[Ideal_FP32 | Seed 0] Epoch 7/100 - Acc: 0.9287
[Ideal_FP32 | Seed 0] Epoch 8/100 - Acc: 0.9352
[Ideal_FP32 | Seed 0] Epoch 9/100 - Acc: 0.9372
[Ideal_FP32 | Seed 0] Epoch 10/100 - Acc: 0.9417
[Ideal_FP32 | Seed 0] Epoch 11/100 - Acc: 0.9411
[Ideal_FP32 | Seed 0] Epoch 12/100 - Acc: 0.9436
[Ideal_FP32 | Seed 0] Epoch 13/100 - Acc: 0.9464
[Ideal_FP32 | Seed 0] Epoch 14/100 - Acc: 0.9474
[Ideal_FP32 | Seed 0] Epoch 15/100 - Acc: 0.9496
[Ideal_FP32 | Seed 0] Epoch 16/100 - Acc: 0.9494
[Ideal_FP32 | Seed 0] Epoch 17/100 - Acc: 0.9517
[Ideal_FP32 | Seed 0] Epoch 18/100 - Acc: 0.9531
[Ideal_FP32 | Seed 0] Epoch 19/100 - Acc: 0.9545
[Ideal_FP32 | Seed 0] Epoch 20/100 - Acc: 0.9539
[Ideal_FP32 | Seed 0] Epoch 21/100 - Acc: 0.9545
[Ideal_FP32 | Seed 0] Epoch 22/100 - Acc: 0.9551
[Ideal_FP32 | Seed 0] Epoch 23/100 - Acc: 0.9557
[Ideal_FP32 | Seed 0] Epoch 24/100 - Acc: 0.9570
[Ideal_FP32 | Seed 0] Epoch 25/100 - Acc: 0.9569
[Ideal_FP32 | Seed 0] Epoch 26/100 - Acc: 0.9554
[Ideal_FP32 | Seed 0] Epoch 27/100 - Acc: 0.9566
[Ideal_FP32 | Seed 0] Epoch 28/100 - Acc: 0.9579
[Ideal_FP32 | Seed 0] Epoch 29/100 - Acc: 0.9606
[Ideal_FP32 | Seed 0] Epoch 30/100 - Acc: 0.9596
[Ideal_FP32 | Seed 0] Epoch 31/100 - Acc: 0.9611
[Ideal_FP32 | Seed 0] Epoch 32/100 - Acc: 0.9590
[Ideal_FP32 | Seed 0] Epoch 33/100 - Acc: 0.9598
[Ideal_FP32 | Seed 0] Epoch 34/100 - Acc: 0.9614
[Ideal_FP32 | Seed 0] Epoch 35/100 - Acc: 0.9613
[Ideal_FP32 | Seed 0] Epoch 36/100 - Acc: 0.9610
[Ideal_FP32 | Seed 0] Epoch 37/100 - Acc: 0.9617
[Ideal_FP32 | Seed 0] Epoch 38/100 - Acc: 0.9637
[Ideal_FP32 | Seed 0] Epoch 39/100 - Acc: 0.9627
[Ideal_FP32 | Seed 0] Epoch 40/100 - Acc: 0.9614
[Ideal_FP32 | Seed 0] Epoch 41/100 - Acc: 0.9624
[Ideal_FP32 | Seed 0] Epoch 42/100 - Acc: 0.9626
[Ideal_FP32 | Seed 0] Epoch 43/100 - Acc: 0.9629
[Ideal_FP32 | Seed 0] Epoch 44/100 - Acc: 0.9629
[Ideal_FP32 | Seed 0] Epoch 45/100 - Acc: 0.9621
[Ideal_FP32 | Seed 0] Epoch 46/100 - Acc: 0.9626
[Ideal_FP32 | Seed 0] Epoch 47/100 - Acc: 0.9626
[Ideal_FP32 | Seed 0] Epoch 48/100 - Acc: 0.9645
[Ideal_FP32 | Seed 0] Epoch 49/100 - Acc: 0.9632
[Ideal_FP32 | Seed 0] Epoch 50/100 - Acc: 0.9635
[Ideal_FP32 | Seed 0] Epoch 51/100 - Acc: 0.9649
[Ideal_FP32 | Seed 0] Epoch 52/100 - Acc: 0.9632
[Ideal_FP32 | Seed 0] Epoch 53/100 - Acc: 0.9640
[Ideal_FP32 | Seed 0] Epoch 54/100 - Acc: 0.9639
[Ideal_FP32 | Seed 0] Epoch 55/100 - Acc: 0.9654
[Ideal_FP32 | Seed 0] Epoch 56/100 - Acc: 0.9650
[Ideal_FP32 | Seed 0] Epoch 57/100 - Acc: 0.9653
[Ideal_FP32 | Seed 0] Epoch 58/100 - Acc: 0.9655
[Ideal_FP32 | Seed 0] Epoch 59/100 - Acc: 0.9655
[Ideal_FP32 | Seed 0] Epoch 60/100 - Acc: 0.9661
[Ideal_FP32 | Seed 0] Epoch 61/100 - Acc: 0.9645
[Ideal_FP32 | Seed 0] Epoch 62/100 - Acc: 0.9663
[Ideal_FP32 | Seed 0] Epoch 63/100 - Acc: 0.9651
[Ideal_FP32 | Seed 0] Epoch 64/100 - Acc: 0.9664
[Ideal_FP32 | Seed 0] Epoch 65/100 - Acc: 0.9652
[Ideal_FP32 | Seed 0] Epoch 66/100 - Acc: 0.9651
[Ideal_FP32 | Seed 0] Epoch 67/100 - Acc: 0.9651
[Ideal_FP32 | Seed 0] Epoch 68/100 - Acc: 0.9655
[Ideal_FP32 | Seed 0] Epoch 69/100 - Acc: 0.9658
[Ideal_FP32 | Seed 0] Epoch 70/100 - Acc: 0.9666
[Ideal_FP32 | Seed 0] Epoch 71/100 - Acc: 0.9659
[Ideal_FP32 | Seed 0] Epoch 72/100 - Acc: 0.9652
[Ideal_FP32 | Seed 0] Epoch 73/100 - Acc: 0.9660
[Ideal_FP32 | Seed 0] Epoch 74/100 - Acc: 0.9666
[Ideal_FP32 | Seed 0] Epoch 75/100 - Acc: 0.9665
[Ideal_FP32 | Seed 0] Epoch 76/100 - Acc: 0.9676
[Ideal_FP32 | Seed 0] Epoch 77/100 - Acc: 0.9669
[Ideal_FP32 | Seed 0] Epoch 78/100 - Acc: 0.9660
[Ideal_FP32 | Seed 0] Epoch 79/100 - Acc: 0.9670
[Ideal_FP32 | Seed 0] Epoch 80/100 - Acc: 0.9677
[Ideal_FP32 | Seed 0] Epoch 81/100 - Acc: 0.9649
[Ideal_FP32 | Seed 0] Epoch 82/100 - Acc: 0.9661
[Ideal_FP32 | Seed 0] Epoch 83/100 - Acc: 0.9657
[Ideal_FP32 | Seed 0] Epoch 84/100 - Acc: 0.9650
[Ideal_FP32 | Seed 0] Epoch 85/100 - Acc: 0.9668
[Ideal_FP32 | Seed 0] Epoch 86/100 - Acc: 0.9675
[Ideal_FP32 | Seed 0] Epoch 87/100 - Acc: 0.9661
[Ideal_FP32 | Seed 0] Epoch 88/100 - Acc: 0.9674
[Ideal_FP32 | Seed 0] Epoch 89/100 - Acc: 0.9658
[Ideal_FP32 | Seed 0] Epoch 90/100 - Acc: 0.9657
[Ideal_FP32 | Seed 0] Epoch 91/100 - Acc: 0.9660
[Ideal_FP32 | Seed 0] Epoch 92/100 - Acc: 0.9672
[Ideal_FP32 | Seed 0] Epoch 93/100 - Acc: 0.9667
[Ideal_FP32 | Seed 0] Epoch 94/100 - Acc: 0.9661
[Ideal_FP32 | Seed 0] Epoch 95/100 - Acc: 0.9673
[Ideal_FP32 | Seed 0] Epoch 96/100 - Acc: 0.9662
[Ideal_FP32 | Seed 0] Epoch 97/100 - Acc: 0.9652
[Ideal_FP32 | Seed 0] Epoch 98/100 - Acc: 0.9656
[Ideal_FP32 | Seed 0] Epoch 99/100 - Acc: 0.9662
[Ideal_FP32 | Seed 0] Epoch 100/100 - Acc: 0.9648
[Ideal_FP32 | Seed 1] Epoch 1/100 - Acc: 0.8204
[Ideal_FP32 | Seed 1] Epoch 2/100 - Acc: 0.8810
[Ideal_FP32 | Seed 1] Epoch 3/100 - Acc: 0.9028
[Ideal_FP32 | Seed 1] Epoch 4/100 - Acc: 0.9147
[Ideal_FP32 | Seed 1] Epoch 5/100 - Acc: 0.9235
[Ideal_FP32 | Seed 1] Epoch 6/100 - Acc: 0.9304
[Ideal_FP32 | Seed 1] Epoch 7/100 - Acc: 0.9323
[Ideal_FP32 | Seed 1] Epoch 8/100 - Acc: 0.9360
[Ideal_FP32 | Seed 1] Epoch 9/100 - Acc: 0.9394
[Ideal_FP32 | Seed 1] Epoch 10/100 - Acc: 0.9406
[Ideal_FP32 | Seed 1] Epoch 11/100 - Acc: 0.9430
[Ideal_FP32 | Seed 1] Epoch 12/100 - Acc: 0.9446
[Ideal_FP32 | Seed 1] Epoch 13/100 - Acc: 0.9443
[Ideal_FP32 | Seed 1] Epoch 14/100 - Acc: 0.9488
[Ideal_FP32 | Seed 1] Epoch 15/100 - Acc: 0.9491
[Ideal_FP32 | Seed 1] Epoch 16/100 - Acc: 0.9500
[Ideal_FP32 | Seed 1] Epoch 17/100 - Acc: 0.9507
[Ideal_FP32 | Seed 1] Epoch 18/100 - Acc: 0.9510
[Ideal_FP32 | Seed 1] Epoch 19/100 - Acc: 0.9526
[Ideal_FP32 | Seed 1] Epoch 20/100 - Acc: 0.9531
[Ideal_FP32 | Seed 1] Epoch 21/100 - Acc: 0.9528
[Ideal_FP32 | Seed 1] Epoch 22/100 - Acc: 0.9566
[Ideal_FP32 | Seed 1] Epoch 23/100 - Acc: 0.9549
[Ideal_FP32 | Seed 1] Epoch 24/100 - Acc: 0.9564
[Ideal_FP32 | Seed 1] Epoch 25/100 - Acc: 0.9587
[Ideal_FP32 | Seed 1] Epoch 26/100 - Acc: 0.9571
[Ideal_FP32 | Seed 1] Epoch 27/100 - Acc: 0.9593
[Ideal_FP32 | Seed 1] Epoch 28/100 - Acc: 0.9588
[Ideal_FP32 | Seed 1] Epoch 29/100 - Acc: 0.9611
[Ideal_FP32 | Seed 1] Epoch 30/100 - Acc: 0.9586
[Ideal_FP32 | Seed 1] Epoch 31/100 - Acc: 0.9602
[Ideal_FP32 | Seed 1] Epoch 32/100 - Acc: 0.9617
[Ideal_FP32 | Seed 1] Epoch 33/100 - Acc: 0.9611
[Ideal_FP32 | Seed 1] Epoch 34/100 - Acc: 0.9617
[Ideal_FP32 | Seed 1] Epoch 35/100 - Acc: 0.9613
[Ideal_FP32 | Seed 1] Epoch 36/100 - Acc: 0.9634
[Ideal_FP32 | Seed 1] Epoch 37/100 - Acc: 0.9615
[Ideal_FP32 | Seed 1] Epoch 38/100 - Acc: 0.9620
[Ideal_FP32 | Seed 1] Epoch 39/100 - Acc: 0.9626
[Ideal_FP32 | Seed 1] Epoch 40/100 - Acc: 0.9635
[Ideal_FP32 | Seed 1] Epoch 41/100 - Acc: 0.9627
[Ideal_FP32 | Seed 1] Epoch 42/100 - Acc: 0.9631
[Ideal_FP32 | Seed 1] Epoch 43/100 - Acc: 0.9636
[Ideal_FP32 | Seed 1] Epoch 44/100 - Acc: 0.9642
[Ideal_FP32 | Seed 1] Epoch 45/100 - Acc: 0.9641
[Ideal_FP32 | Seed 1] Epoch 46/100 - Acc: 0.9637
[Ideal_FP32 | Seed 1] Epoch 47/100 - Acc: 0.9641
[Ideal_FP32 | Seed 1] Epoch 48/100 - Acc: 0.9639
[Ideal_FP32 | Seed 1] Epoch 49/100 - Acc: 0.9641
[Ideal_FP32 | Seed 1] Epoch 50/100 - Acc: 0.9658
[Ideal_FP32 | Seed 1] Epoch 51/100 - Acc: 0.9646
[Ideal_FP32 | Seed 1] Epoch 52/100 - Acc: 0.9653
[Ideal_FP32 | Seed 1] Epoch 53/100 - Acc: 0.9639
[Ideal_FP32 | Seed 1] Epoch 54/100 - Acc: 0.9634
[Ideal_FP32 | Seed 1] Epoch 55/100 - Acc: 0.9645
[Ideal_FP32 | Seed 1] Epoch 56/100 - Acc: 0.9665
[Ideal_FP32 | Seed 1] Epoch 57/100 - Acc: 0.9642
[Ideal_FP32 | Seed 1] Epoch 58/100 - Acc: 0.9652
[Ideal_FP32 | Seed 1] Epoch 59/100 - Acc: 0.9636
[Ideal_FP32 | Seed 1] Epoch 60/100 - Acc: 0.9644
[Ideal_FP32 | Seed 1] Epoch 61/100 - Acc: 0.9655
[Ideal_FP32 | Seed 1] Epoch 62/100 - Acc: 0.9645
[Ideal_FP32 | Seed 1] Epoch 63/100 - Acc: 0.9658
[Ideal_FP32 | Seed 1] Epoch 64/100 - Acc: 0.9648
[Ideal_FP32 | Seed 1] Epoch 65/100 - Acc: 0.9646
[Ideal_FP32 | Seed 1] Epoch 66/100 - Acc: 0.9663
[Ideal_FP32 | Seed 1] Epoch 67/100 - Acc: 0.9651
[Ideal_FP32 | Seed 1] Epoch 68/100 - Acc: 0.9660
[Ideal_FP32 | Seed 1] Epoch 69/100 - Acc: 0.9662
[Ideal_FP32 | Seed 1] Epoch 70/100 - Acc: 0.9650
[Ideal_FP32 | Seed 1] Epoch 71/100 - Acc: 0.9649
[Ideal_FP32 | Seed 1] Epoch 72/100 - Acc: 0.9661
[Ideal_FP32 | Seed 1] Epoch 73/100 - Acc: 0.9660
[Ideal_FP32 | Seed 1] Epoch 74/100 - Acc: 0.9645
[Ideal_FP32 | Seed 1] Epoch 75/100 - Acc: 0.9655
[Ideal_FP32 | Seed 1] Epoch 76/100 - Acc: 0.9652
[Ideal_FP32 | Seed 1] Epoch 77/100 - Acc: 0.9656
[Ideal_FP32 | Seed 1] Epoch 78/100 - Acc: 0.9660
[Ideal_FP32 | Seed 1] Epoch 79/100 - Acc: 0.9660
[Ideal_FP32 | Seed 1] Epoch 80/100 - Acc: 0.9651
[Ideal_FP32 | Seed 1] Epoch 81/100 - Acc: 0.9646
[Ideal_FP32 | Seed 1] Epoch 82/100 - Acc: 0.9653
[Ideal_FP32 | Seed 1] Epoch 83/100 - Acc: 0.9648
[Ideal_FP32 | Seed 1] Epoch 84/100 - Acc: 0.9653
[Ideal_FP32 | Seed 1] Epoch 85/100 - Acc: 0.9659
[Ideal_FP32 | Seed 1] Epoch 86/100 - Acc: 0.9662
[Ideal_FP32 | Seed 1] Epoch 87/100 - Acc: 0.9647
[Ideal_FP32 | Seed 1] Epoch 88/100 - Acc: 0.9678
[Ideal_FP32 | Seed 1] Epoch 89/100 - Acc: 0.9658
[Ideal_FP32 | Seed 1] Epoch 90/100 - Acc: 0.9660
[Ideal_FP32 | Seed 1] Epoch 91/100 - Acc: 0.9664
[Ideal_FP32 | Seed 1] Epoch 92/100 - Acc: 0.9655
[Ideal_FP32 | Seed 1] Epoch 93/100 - Acc: 0.9649
[Ideal_FP32 | Seed 1] Epoch 94/100 - Acc: 0.9658
[Ideal_FP32 | Seed 1] Epoch 95/100 - Acc: 0.9656
[Ideal_FP32 | Seed 1] Epoch 96/100 - Acc: 0.9664
[Ideal_FP32 | Seed 1] Epoch 97/100 - Acc: 0.9664
[Ideal_FP32 | Seed 1] Epoch 98/100 - Acc: 0.9668
[Ideal_FP32 | Seed 1] Epoch 99/100 - Acc: 0.9663
[Ideal_FP32 | Seed 1] Epoch 100/100 - Acc: 0.9666
[Ideal_FP32 | Seed 2] Epoch 1/100 - Acc: 0.7475
[Ideal_FP32 | Seed 2] Epoch 2/100 - Acc: 0.8015
[Ideal_FP32 | Seed 2] Epoch 3/100 - Acc: 0.8184
[Ideal_FP32 | Seed 2] Epoch 4/100 - Acc: 0.8260
[Ideal_FP32 | Seed 2] Epoch 5/100 - Acc: 0.8350
[Ideal_FP32 | Seed 2] Epoch 6/100 - Acc: 0.8393
[Ideal_FP32 | Seed 2] Epoch 7/100 - Acc: 0.8426
[Ideal_FP32 | Seed 2] Epoch 8/100 - Acc: 0.8441
[Ideal_FP32 | Seed 2] Epoch 9/100 - Acc: 0.8481
[Ideal_FP32 | Seed 2] Epoch 10/100 - Acc: 0.8500
[Ideal_FP32 | Seed 2] Epoch 11/100 - Acc: 0.8525
[Ideal_FP32 | Seed 2] Epoch 12/100 - Acc: 0.8536
[Ideal_FP32 | Seed 2] Epoch 13/100 - Acc: 0.8560
[Ideal_FP32 | Seed 2] Epoch 14/100 - Acc: 0.8556
[Ideal_FP32 | Seed 2] Epoch 15/100 - Acc: 0.8558
[Ideal_FP32 | Seed 2] Epoch 16/100 - Acc: 0.8576
[Ideal_FP32 | Seed 2] Epoch 17/100 - Acc: 0.8581
[Ideal_FP32 | Seed 2] Epoch 18/100 - Acc: 0.8590
[Ideal_FP32 | Seed 2] Epoch 19/100 - Acc: 0.8591
[Ideal_FP32 | Seed 2] Epoch 20/100 - Acc: 0.8612
[Ideal_FP32 | Seed 2] Epoch 21/100 - Acc: 0.8605
[Ideal_FP32 | Seed 2] Epoch 22/100 - Acc: 0.8622
[Ideal_FP32 | Seed 2] Epoch 23/100 - Acc: 0.8628
[Ideal_FP32 | Seed 2] Epoch 24/100 - Acc: 0.8631
[Ideal_FP32 | Seed 2] Epoch 25/100 - Acc: 0.8637
[Ideal_FP32 | Seed 2] Epoch 26/100 - Acc: 0.8645
[Ideal_FP32 | Seed 2] Epoch 27/100 - Acc: 0.8641
[Ideal_FP32 | Seed 2] Epoch 28/100 - Acc: 0.8637
[Ideal_FP32 | Seed 2] Epoch 29/100 - Acc: 0.8638
[Ideal_FP32 | Seed 2] Epoch 30/100 - Acc: 0.8662
[Ideal_FP32 | Seed 2] Epoch 31/100 - Acc: 0.8639
[Ideal_FP32 | Seed 2] Epoch 32/100 - Acc: 0.8648
[Ideal_FP32 | Seed 2] Epoch 33/100 - Acc: 0.8676
[Ideal_FP32 | Seed 2] Epoch 34/100 - Acc: 0.8658
[Ideal_FP32 | Seed 2] Epoch 35/100 - Acc: 0.8673
[Ideal_FP32 | Seed 2] Epoch 36/100 - Acc: 0.8663
[Ideal_FP32 | Seed 2] Epoch 37/100 - Acc: 0.8684
[Ideal_FP32 | Seed 2] Epoch 38/100 - Acc: 0.8669
[Ideal_FP32 | Seed 2] Epoch 39/100 - Acc: 0.8682
[Ideal_FP32 | Seed 2] Epoch 40/100 - Acc: 0.8682
[Ideal_FP32 | Seed 2] Epoch 41/100 - Acc: 0.8681
[Ideal_FP32 | Seed 2] Epoch 42/100 - Acc: 0.8679
[Ideal_FP32 | Seed 2] Epoch 43/100 - Acc: 0.9487
[Ideal_FP32 | Seed 2] Epoch 44/100 - Acc: 0.9589
[Ideal_FP32 | Seed 2] Epoch 45/100 - Acc: 0.9616
[Ideal_FP32 | Seed 2] Epoch 46/100 - Acc: 0.9622
[Ideal_FP32 | Seed 2] Epoch 47/100 - Acc: 0.9633
[Ideal_FP32 | Seed 2] Epoch 48/100 - Acc: 0.9647
[Ideal_FP32 | Seed 2] Epoch 49/100 - Acc: 0.9625
[Ideal_FP32 | Seed 2] Epoch 50/100 - Acc: 0.9635
[Ideal_FP32 | Seed 2] Epoch 51/100 - Acc: 0.9654
[Ideal_FP32 | Seed 2] Epoch 52/100 - Acc: 0.9637
[Ideal_FP32 | Seed 2] Epoch 53/100 - Acc: 0.9656
[Ideal_FP32 | Seed 2] Epoch 54/100 - Acc: 0.9635
[Ideal_FP32 | Seed 2] Epoch 55/100 - Acc: 0.9656
[Ideal_FP32 | Seed 2] Epoch 56/100 - Acc: 0.9641
[Ideal_FP32 | Seed 2] Epoch 57/100 - Acc: 0.9647
[Ideal_FP32 | Seed 2] Epoch 58/100 - Acc: 0.9654
[Ideal_FP32 | Seed 2] Epoch 59/100 - Acc: 0.9631
[Ideal_FP32 | Seed 2] Epoch 60/100 - Acc: 0.9650
[Ideal_FP32 | Seed 2] Epoch 61/100 - Acc: 0.9655
[Ideal_FP32 | Seed 2] Epoch 62/100 - Acc: 0.9656
[Ideal_FP32 | Seed 2] Epoch 63/100 - Acc: 0.9655
[Ideal_FP32 | Seed 2] Epoch 64/100 - Acc: 0.9658
[Ideal_FP32 | Seed 2] Epoch 65/100 - Acc: 0.9656
[Ideal_FP32 | Seed 2] Epoch 66/100 - Acc: 0.9661
[Ideal_FP32 | Seed 2] Epoch 67/100 - Acc: 0.9653
[Ideal_FP32 | Seed 2] Epoch 68/100 - Acc: 0.9657
[Ideal_FP32 | Seed 2] Epoch 69/100 - Acc: 0.9659
[Ideal_FP32 | Seed 2] Epoch 70/100 - Acc: 0.9663
[Ideal_FP32 | Seed 2] Epoch 71/100 - Acc: 0.9673
[Ideal_FP32 | Seed 2] Epoch 72/100 - Acc: 0.9661
[Ideal_FP32 | Seed 2] Epoch 73/100 - Acc: 0.9664
[Ideal_FP32 | Seed 2] Epoch 74/100 - Acc: 0.9660
[Ideal_FP32 | Seed 2] Epoch 75/100 - Acc: 0.9667
[Ideal_FP32 | Seed 2] Epoch 76/100 - Acc: 0.9667
[Ideal_FP32 | Seed 2] Epoch 77/100 - Acc: 0.9670
[Ideal_FP32 | Seed 2] Epoch 78/100 - Acc: 0.9665
[Ideal_FP32 | Seed 2] Epoch 79/100 - Acc: 0.9666
[Ideal_FP32 | Seed 2] Epoch 80/100 - Acc: 0.9677
[Ideal_FP32 | Seed 2] Epoch 81/100 - Acc: 0.9663
[Ideal_FP32 | Seed 2] Epoch 82/100 - Acc: 0.9660
[Ideal_FP32 | Seed 2] Epoch 83/100 - Acc: 0.9672
[Ideal_FP32 | Seed 2] Epoch 84/100 - Acc: 0.9670
[Ideal_FP32 | Seed 2] Epoch 85/100 - Acc: 0.9659
[Ideal_FP32 | Seed 2] Epoch 86/100 - Acc: 0.9661
[Ideal_FP32 | Seed 2] Epoch 87/100 - Acc: 0.9677
[Ideal_FP32 | Seed 2] Epoch 88/100 - Acc: 0.9658
[Ideal_FP32 | Seed 2] Epoch 89/100 - Acc: 0.9655
[Ideal_FP32 | Seed 2] Epoch 90/100 - Acc: 0.9669
[Ideal_FP32 | Seed 2] Epoch 91/100 - Acc: 0.9669
[Ideal_FP32 | Seed 2] Epoch 92/100 - Acc: 0.9670
[Ideal_FP32 | Seed 2] Epoch 93/100 - Acc: 0.9662
[Ideal_FP32 | Seed 2] Epoch 94/100 - Acc: 0.9661
[Ideal_FP32 | Seed 2] Epoch 95/100 - Acc: 0.9668
[Ideal_FP32 | Seed 2] Epoch 96/100 - Acc: 0.9659
[Ideal_FP32 | Seed 2] Epoch 97/100 - Acc: 0.9653
[Ideal_FP32 | Seed 2] Epoch 98/100 - Acc: 0.9679
[Ideal_FP32 | Seed 2] Epoch 99/100 - Acc: 0.9668
[Ideal_FP32 | Seed 2] Epoch 100/100 - Acc: 0.9646
[Ideal_FP32 | Seed 3] Epoch 1/100 - Acc: 0.7640
[Ideal_FP32 | Seed 3] Epoch 2/100 - Acc: 0.8147
[Ideal_FP32 | Seed 3] Epoch 3/100 - Acc: 0.8260
[Ideal_FP32 | Seed 3] Epoch 4/100 - Acc: 0.8351
[Ideal_FP32 | Seed 3] Epoch 5/100 - Acc: 0.8416
