nohup: ignoring input
[Ideal_FP32 | Seed 0] Epoch 1/100 - Acc: 0.5633
[Ideal_FP32 | Seed 0] Epoch 2/100 - Acc: 0.7092
[Ideal_FP32 | Seed 0] Epoch 3/100 - Acc: 0.8071
[Ideal_FP32 | Seed 0] Epoch 4/100 - Acc: 0.8423
[Ideal_FP32 | Seed 0] Epoch 5/100 - Acc: 0.8637
[Ideal_FP32 | Seed 0] Epoch 6/100 - Acc: 0.8822
[Ideal_FP32 | Seed 0] Epoch 7/100 - Acc: 0.8904
[Ideal_FP32 | Seed 0] Epoch 8/100 - Acc: 0.8972
[Ideal_FP32 | Seed 0] Epoch 9/100 - Acc: 0.9022
[Ideal_FP32 | Seed 0] Epoch 10/100 - Acc: 0.9060
[Ideal_FP32 | Seed 0] Epoch 11/100 - Acc: 0.9085
[Ideal_FP32 | Seed 0] Epoch 12/100 - Acc: 0.9139
[Ideal_FP32 | Seed 0] Epoch 13/100 - Acc: 0.9149
[Ideal_FP32 | Seed 0] Epoch 14/100 - Acc: 0.9185
[Ideal_FP32 | Seed 0] Epoch 15/100 - Acc: 0.9211
[Ideal_FP32 | Seed 0] Epoch 16/100 - Acc: 0.9207
[Ideal_FP32 | Seed 0] Epoch 17/100 - Acc: 0.9235
[Ideal_FP32 | Seed 0] Epoch 18/100 - Acc: 0.9241
[Ideal_FP32 | Seed 0] Epoch 19/100 - Acc: 0.9273
[Ideal_FP32 | Seed 0] Epoch 20/100 - Acc: 0.9287
[Ideal_FP32 | Seed 0] Epoch 21/100 - Acc: 0.9324
[Ideal_FP32 | Seed 0] Epoch 22/100 - Acc: 0.9323
[Ideal_FP32 | Seed 0] Epoch 23/100 - Acc: 0.9327
[Ideal_FP32 | Seed 0] Epoch 24/100 - Acc: 0.9343
[Ideal_FP32 | Seed 0] Epoch 25/100 - Acc: 0.9378
[Ideal_FP32 | Seed 0] Epoch 26/100 - Acc: 0.9389
[Ideal_FP32 | Seed 0] Epoch 27/100 - Acc: 0.9382
[Ideal_FP32 | Seed 0] Epoch 28/100 - Acc: 0.9400
[Ideal_FP32 | Seed 0] Epoch 29/100 - Acc: 0.9406
[Ideal_FP32 | Seed 0] Epoch 30/100 - Acc: 0.9422
[Ideal_FP32 | Seed 0] Epoch 31/100 - Acc: 0.9447
[Ideal_FP32 | Seed 0] Epoch 32/100 - Acc: 0.9435
[Ideal_FP32 | Seed 0] Epoch 33/100 - Acc: 0.9442
[Ideal_FP32 | Seed 0] Epoch 34/100 - Acc: 0.9453
[Ideal_FP32 | Seed 0] Epoch 35/100 - Acc: 0.9459
