nohup: ignoring input
[Ideal_FP32 | Seed 0] Epoch 1/100 - Acc: 0.7602, Total Spikes: 3666338.0
[Ideal_FP32 | Seed 0] Epoch 2/100 - Acc: 0.8762, Total Spikes: 3985101.0
[Ideal_FP32 | Seed 0] Epoch 3/100 - Acc: 0.9061, Total Spikes: 4025678.0
[Ideal_FP32 | Seed 0] Epoch 4/100 - Acc: 0.9149, Total Spikes: 4028944.0
[Ideal_FP32 | Seed 0] Epoch 5/100 - Acc: 0.9240, Total Spikes: 4009014.0
[Ideal_FP32 | Seed 0] Epoch 6/100 - Acc: 0.9255, Total Spikes: 4024786.0
[Ideal_FP32 | Seed 0] Epoch 7/100 - Acc: 0.9306, Total Spikes: 4015458.0
[Ideal_FP32 | Seed 0] Epoch 8/100 - Acc: 0.9363, Total Spikes: 4013760.0
[Ideal_FP32 | Seed 0] Epoch 9/100 - Acc: 0.9379, Total Spikes: 3985386.0
[Ideal_FP32 | Seed 0] Epoch 10/100 - Acc: 0.9423, Total Spikes: 4012078.0
[Ideal_FP32 | Seed 0] Epoch 11/100 - Acc: 0.9408, Total Spikes: 4016061.0
[Ideal_FP32 | Seed 0] Epoch 12/100 - Acc: 0.9445, Total Spikes: 4017276.0
[Ideal_FP32 | Seed 0] Epoch 13/100 - Acc: 0.9463, Total Spikes: 4004958.0
[Ideal_FP32 | Seed 0] Epoch 14/100 - Acc: 0.9461, Total Spikes: 4007080.0
[Ideal_FP32 | Seed 0] Epoch 15/100 - Acc: 0.9499, Total Spikes: 4006522.0
[Ideal_FP32 | Seed 0] Epoch 16/100 - Acc: 0.9488, Total Spikes: 3998108.0
[Ideal_FP32 | Seed 0] Epoch 17/100 - Acc: 0.9513, Total Spikes: 3999988.0
[Ideal_FP32 | Seed 0] Epoch 18/100 - Acc: 0.9537, Total Spikes: 4006484.0
[Ideal_FP32 | Seed 0] Epoch 19/100 - Acc: 0.9522, Total Spikes: 3986513.0
[Ideal_FP32 | Seed 0] Epoch 20/100 - Acc: 0.9550, Total Spikes: 3994503.0
[Ideal_FP32 | Seed 0] Epoch 21/100 - Acc: 0.9534, Total Spikes: 3988169.0
[Ideal_FP32 | Seed 0] Epoch 22/100 - Acc: 0.9547, Total Spikes: 3993416.0
[Ideal_FP32 | Seed 0] Epoch 23/100 - Acc: 0.9563, Total Spikes: 4009869.0
[Ideal_FP32 | Seed 0] Epoch 24/100 - Acc: 0.9551, Total Spikes: 3988424.0
[Ideal_FP32 | Seed 0] Epoch 25/100 - Acc: 0.9574, Total Spikes: 3989072.0
