nohup: ignoring input
[Ideal_FP32 | Seed 0] Epoch 1/100 - Acc: 0.7603, Total Spikes: 3667097.0
[Ideal_FP32 | Seed 0] Epoch 2/100 - Acc: 0.8751, Total Spikes: 3989414.0
[Ideal_FP32 | Seed 0] Epoch 3/100 - Acc: 0.9060, Total Spikes: 4026724.0
[Ideal_FP32 | Seed 0] Epoch 4/100 - Acc: 0.9144, Total Spikes: 4040380.0
[Ideal_FP32 | Seed 0] Epoch 5/100 - Acc: 0.9225, Total Spikes: 4009040.0
[Ideal_FP32 | Seed 0] Epoch 6/100 - Acc: 0.9260, Total Spikes: 4024771.0
[Ideal_FP32 | Seed 0] Epoch 7/100 - Acc: 0.9287, Total Spikes: 4017186.0
[Ideal_FP32 | Seed 0] Epoch 8/100 - Acc: 0.9352, Total Spikes: 4021488.0
[Ideal_FP32 | Seed 0] Epoch 9/100 - Acc: 0.9372, Total Spikes: 3984756.0
[Ideal_FP32 | Seed 0] Epoch 10/100 - Acc: 0.9417, Total Spikes: 4013042.0
[Ideal_FP32 | Seed 0] Epoch 11/100 - Acc: 0.9411, Total Spikes: 4013359.0
[Ideal_FP32 | Seed 0] Epoch 12/100 - Acc: 0.9436, Total Spikes: 4020260.0
[Ideal_FP32 | Seed 0] Epoch 13/100 - Acc: 0.9464, Total Spikes: 4003415.0
[Ideal_FP32 | Seed 0] Epoch 14/100 - Acc: 0.9474, Total Spikes: 3997427.0
[Ideal_FP32 | Seed 0] Epoch 15/100 - Acc: 0.9496, Total Spikes: 4007600.0
[Ideal_FP32 | Seed 0] Epoch 16/100 - Acc: 0.9494, Total Spikes: 4000338.0
[Ideal_FP32 | Seed 0] Epoch 17/100 - Acc: 0.9517, Total Spikes: 4007276.0
[Ideal_FP32 | Seed 0] Epoch 18/100 - Acc: 0.9531, Total Spikes: 4015349.0
[Ideal_FP32 | Seed 0] Epoch 19/100 - Acc: 0.9545, Total Spikes: 3985813.0
[Ideal_FP32 | Seed 0] Epoch 20/100 - Acc: 0.9539, Total Spikes: 3999360.0
[Ideal_FP32 | Seed 0] Epoch 21/100 - Acc: 0.9545, Total Spikes: 3993170.0
[Ideal_FP32 | Seed 0] Epoch 22/100 - Acc: 0.9551, Total Spikes: 3994466.0
[Ideal_FP32 | Seed 0] Epoch 23/100 - Acc: 0.9557, Total Spikes: 4008070.0
[Ideal_FP32 | Seed 0] Epoch 24/100 - Acc: 0.9570, Total Spikes: 3998301.0
[Ideal_FP32 | Seed 0] Epoch 25/100 - Acc: 0.9569, Total Spikes: 3995618.0
[Ideal_FP32 | Seed 0] Epoch 26/100 - Acc: 0.9554, Total Spikes: 4010919.0
[Ideal_FP32 | Seed 0] Epoch 27/100 - Acc: 0.9566, Total Spikes: 4019391.0
[Ideal_FP32 | Seed 0] Epoch 28/100 - Acc: 0.9579, Total Spikes: 4002716.0
[Ideal_FP32 | Seed 0] Epoch 29/100 - Acc: 0.9606, Total Spikes: 4017853.0
[Ideal_FP32 | Seed 0] Epoch 30/100 - Acc: 0.9596, Total Spikes: 4005817.0
[Ideal_FP32 | Seed 0] Epoch 31/100 - Acc: 0.9611, Total Spikes: 3993311.0
[Ideal_FP32 | Seed 0] Epoch 32/100 - Acc: 0.9590, Total Spikes: 4017931.0
[Ideal_FP32 | Seed 0] Epoch 33/100 - Acc: 0.9598, Total Spikes: 4009477.0
[Ideal_FP32 | Seed 0] Epoch 34/100 - Acc: 0.9614, Total Spikes: 4014743.0
[Ideal_FP32 | Seed 0] Epoch 35/100 - Acc: 0.9613, Total Spikes: 4009367.0
[Ideal_FP32 | Seed 0] Epoch 36/100 - Acc: 0.9610, Total Spikes: 4007750.0
[Ideal_FP32 | Seed 0] Epoch 37/100 - Acc: 0.9617, Total Spikes: 4012672.0
[Ideal_FP32 | Seed 0] Epoch 38/100 - Acc: 0.9637, Total Spikes: 4032679.0
[Ideal_FP32 | Seed 0] Epoch 39/100 - Acc: 0.9627, Total Spikes: 4025597.0
[Ideal_FP32 | Seed 0] Epoch 40/100 - Acc: 0.9614, Total Spikes: 4022862.0
[Ideal_FP32 | Seed 0] Epoch 41/100 - Acc: 0.9624, Total Spikes: 3995284.0
[Ideal_FP32 | Seed 0] Epoch 42/100 - Acc: 0.9626, Total Spikes: 4030331.0
[Ideal_FP32 | Seed 0] Epoch 43/100 - Acc: 0.9629, Total Spikes: 4008368.0
[Ideal_FP32 | Seed 0] Epoch 44/100 - Acc: 0.9629, Total Spikes: 3995039.0
[Ideal_FP32 | Seed 0] Epoch 45/100 - Acc: 0.9621, Total Spikes: 4007062.0
[Ideal_FP32 | Seed 0] Epoch 46/100 - Acc: 0.9626, Total Spikes: 4020822.0
[Ideal_FP32 | Seed 0] Epoch 47/100 - Acc: 0.9626, Total Spikes: 4026929.0
[Ideal_FP32 | Seed 0] Epoch 48/100 - Acc: 0.9645, Total Spikes: 4008865.0
[Ideal_FP32 | Seed 0] Epoch 49/100 - Acc: 0.9632, Total Spikes: 4036941.0
[Ideal_FP32 | Seed 0] Epoch 50/100 - Acc: 0.9635, Total Spikes: 4021165.0
[Ideal_FP32 | Seed 0] Epoch 51/100 - Acc: 0.9649, Total Spikes: 4023559.0
[Ideal_FP32 | Seed 0] Epoch 52/100 - Acc: 0.9632, Total Spikes: 4040060.0
[Ideal_FP32 | Seed 0] Epoch 53/100 - Acc: 0.9640, Total Spikes: 4013099.0
[Ideal_FP32 | Seed 0] Epoch 54/100 - Acc: 0.9639, Total Spikes: 4027320.0
[Ideal_FP32 | Seed 0] Epoch 55/100 - Acc: 0.9654, Total Spikes: 4015865.0
[Ideal_FP32 | Seed 0] Epoch 56/100 - Acc: 0.9650, Total Spikes: 4034770.0
[Ideal_FP32 | Seed 0] Epoch 57/100 - Acc: 0.9653, Total Spikes: 4010841.0
[Ideal_FP32 | Seed 0] Epoch 58/100 - Acc: 0.9655, Total Spikes: 4020444.0
[Ideal_FP32 | Seed 0] Epoch 59/100 - Acc: 0.9655, Total Spikes: 4005796.0
[Ideal_FP32 | Seed 0] Epoch 60/100 - Acc: 0.9661, Total Spikes: 4041056.0
[Ideal_FP32 | Seed 0] Epoch 61/100 - Acc: 0.9645, Total Spikes: 4037718.0
[Ideal_FP32 | Seed 0] Epoch 62/100 - Acc: 0.9663, Total Spikes: 4030645.0
[Ideal_FP32 | Seed 0] Epoch 63/100 - Acc: 0.9651, Total Spikes: 4021820.0
[Ideal_FP32 | Seed 0] Epoch 64/100 - Acc: 0.9664, Total Spikes: 4019821.0
[Ideal_FP32 | Seed 0] Epoch 65/100 - Acc: 0.9652, Total Spikes: 4031766.0
[Ideal_FP32 | Seed 0] Epoch 66/100 - Acc: 0.9651, Total Spikes: 4017708.0
[Ideal_FP32 | Seed 0] Epoch 67/100 - Acc: 0.9651, Total Spikes: 4028932.0
[Ideal_FP32 | Seed 0] Epoch 68/100 - Acc: 0.9655, Total Spikes: 4030501.0
[Ideal_FP32 | Seed 0] Epoch 69/100 - Acc: 0.9658, Total Spikes: 4024067.0
[Ideal_FP32 | Seed 0] Epoch 70/100 - Acc: 0.9666, Total Spikes: 4041223.0
[Ideal_FP32 | Seed 0] Epoch 71/100 - Acc: 0.9659, Total Spikes: 4025298.0
[Ideal_FP32 | Seed 0] Epoch 72/100 - Acc: 0.9652, Total Spikes: 4019904.0
[Ideal_FP32 | Seed 0] Epoch 73/100 - Acc: 0.9660, Total Spikes: 4035571.0
[Ideal_FP32 | Seed 0] Epoch 74/100 - Acc: 0.9666, Total Spikes: 4026201.0
[Ideal_FP32 | Seed 0] Epoch 75/100 - Acc: 0.9665, Total Spikes: 4028064.0
[Ideal_FP32 | Seed 0] Epoch 76/100 - Acc: 0.9676, Total Spikes: 4020182.0
[Ideal_FP32 | Seed 0] Epoch 77/100 - Acc: 0.9669, Total Spikes: 4053639.0
[Ideal_FP32 | Seed 0] Epoch 78/100 - Acc: 0.9660, Total Spikes: 4044179.0
[Ideal_FP32 | Seed 0] Epoch 79/100 - Acc: 0.9670, Total Spikes: 4045271.0
[Ideal_FP32 | Seed 0] Epoch 80/100 - Acc: 0.9677, Total Spikes: 4042263.0
[Ideal_FP32 | Seed 0] Epoch 81/100 - Acc: 0.9649, Total Spikes: 4047861.0
[Ideal_FP32 | Seed 0] Epoch 82/100 - Acc: 0.9661, Total Spikes: 4020333.0
[Ideal_FP32 | Seed 0] Epoch 83/100 - Acc: 0.9657, Total Spikes: 4049913.0
[Ideal_FP32 | Seed 0] Epoch 84/100 - Acc: 0.9650, Total Spikes: 4051854.0
[Ideal_FP32 | Seed 0] Epoch 85/100 - Acc: 0.9668, Total Spikes: 4037316.0
[Ideal_FP32 | Seed 0] Epoch 86/100 - Acc: 0.9675, Total Spikes: 4032875.0
[Ideal_FP32 | Seed 0] Epoch 87/100 - Acc: 0.9661, Total Spikes: 4030002.0
[Ideal_FP32 | Seed 0] Epoch 88/100 - Acc: 0.9674, Total Spikes: 4020531.0
[Ideal_FP32 | Seed 0] Epoch 89/100 - Acc: 0.9658, Total Spikes: 4024029.0
[Ideal_FP32 | Seed 0] Epoch 90/100 - Acc: 0.9657, Total Spikes: 4034074.0
[Ideal_FP32 | Seed 0] Epoch 91/100 - Acc: 0.9660, Total Spikes: 4042105.0
[Ideal_FP32 | Seed 0] Epoch 92/100 - Acc: 0.9672, Total Spikes: 4011175.0
[Ideal_FP32 | Seed 0] Epoch 93/100 - Acc: 0.9667, Total Spikes: 4040644.0
[Ideal_FP32 | Seed 0] Epoch 94/100 - Acc: 0.9661, Total Spikes: 4050425.0
[Ideal_FP32 | Seed 0] Epoch 95/100 - Acc: 0.9673, Total Spikes: 4034592.0
[Ideal_FP32 | Seed 0] Epoch 96/100 - Acc: 0.9662, Total Spikes: 4026033.0
[Ideal_FP32 | Seed 0] Epoch 97/100 - Acc: 0.9652, Total Spikes: 4036839.0
[Ideal_FP32 | Seed 0] Epoch 98/100 - Acc: 0.9656, Total Spikes: 4042721.0
[Ideal_FP32 | Seed 0] Epoch 99/100 - Acc: 0.9662, Total Spikes: 4035537.0
[Ideal_FP32 | Seed 0] Epoch 100/100 - Acc: 0.9648, Total Spikes: 4032015.0
[Ideal_FP32 | Seed 1] Epoch 1/100 - Acc: 0.8204, Total Spikes: 4089129.0
[Ideal_FP32 | Seed 1] Epoch 2/100 - Acc: 0.8810, Total Spikes: 4232986.0
[Ideal_FP32 | Seed 1] Epoch 3/100 - Acc: 0.9028, Total Spikes: 4225037.0
[Ideal_FP32 | Seed 1] Epoch 4/100 - Acc: 0.9147, Total Spikes: 4220864.0
[Ideal_FP32 | Seed 1] Epoch 5/100 - Acc: 0.9235, Total Spikes: 4227343.0
[Ideal_FP32 | Seed 1] Epoch 6/100 - Acc: 0.9304, Total Spikes: 4243217.0
[Ideal_FP32 | Seed 1] Epoch 7/100 - Acc: 0.9323, Total Spikes: 4250650.0
[Ideal_FP32 | Seed 1] Epoch 8/100 - Acc: 0.9360, Total Spikes: 4280152.0
[Ideal_FP32 | Seed 1] Epoch 9/100 - Acc: 0.9394, Total Spikes: 4272286.0
[Ideal_FP32 | Seed 1] Epoch 10/100 - Acc: 0.9406, Total Spikes: 4257569.0
[Ideal_FP32 | Seed 1] Epoch 11/100 - Acc: 0.9430, Total Spikes: 4275730.0
[Ideal_FP32 | Seed 1] Epoch 12/100 - Acc: 0.9446, Total Spikes: 4274200.0
[Ideal_FP32 | Seed 1] Epoch 13/100 - Acc: 0.9443, Total Spikes: 4283157.0
[Ideal_FP32 | Seed 1] Epoch 14/100 - Acc: 0.9488, Total Spikes: 4306650.0
[Ideal_FP32 | Seed 1] Epoch 15/100 - Acc: 0.9491, Total Spikes: 4296357.0
