nohup: ignoring input
[Ideal_FP32 | Seed 0] Epoch 1/30 - Acc: 0.7515
[Ideal_FP32 | Seed 0] Epoch 2/30 - Acc: 0.8705
[Ideal_FP32 | Seed 0] Epoch 3/30 - Acc: 0.9013
[Ideal_FP32 | Seed 0] Epoch 4/30 - Acc: 0.9105
[Ideal_FP32 | Seed 0] Epoch 5/30 - Acc: 0.9196
[Ideal_FP32 | Seed 0] Epoch 6/30 - Acc: 0.9236
[Ideal_FP32 | Seed 0] Epoch 7/30 - Acc: 0.9273
[Ideal_FP32 | Seed 0] Epoch 8/30 - Acc: 0.9325
[Ideal_FP32 | Seed 0] Epoch 9/30 - Acc: 0.9369
[Ideal_FP32 | Seed 0] Epoch 10/30 - Acc: 0.9401
[Ideal_FP32 | Seed 0] Epoch 11/30 - Acc: 0.9398
[Ideal_FP32 | Seed 0] Epoch 12/30 - Acc: 0.9448
[Ideal_FP32 | Seed 0] Epoch 13/30 - Acc: 0.9452
[Ideal_FP32 | Seed 0] Epoch 14/30 - Acc: 0.9480
[Ideal_FP32 | Seed 0] Epoch 15/30 - Acc: 0.9490
[Ideal_FP32 | Seed 0] Epoch 16/30 - Acc: 0.9480
[Ideal_FP32 | Seed 0] Epoch 17/30 - Acc: 0.9503
[Ideal_FP32 | Seed 0] Epoch 18/30 - Acc: 0.9495
[Ideal_FP32 | Seed 0] Epoch 19/30 - Acc: 0.9532
[Ideal_FP32 | Seed 0] Epoch 20/30 - Acc: 0.9532
[Ideal_FP32 | Seed 0] Epoch 21/30 - Acc: 0.9547
[Ideal_FP32 | Seed 0] Epoch 22/30 - Acc: 0.9545
[Ideal_FP32 | Seed 0] Epoch 23/30 - Acc: 0.9560
[Ideal_FP32 | Seed 0] Epoch 24/30 - Acc: 0.9553
[Ideal_FP32 | Seed 0] Epoch 25/30 - Acc: 0.9571
[Ideal_FP32 | Seed 0] Epoch 26/30 - Acc: 0.9567
[Ideal_FP32 | Seed 0] Epoch 27/30 - Acc: 0.9595
[Ideal_FP32 | Seed 0] Epoch 28/30 - Acc: 0.9576
[Ideal_FP32 | Seed 0] Epoch 29/30 - Acc: 0.9597
[Ideal_FP32 | Seed 0] Epoch 30/30 - Acc: 0.9594
[Ideal_FP32 | Seed 1] Epoch 1/30 - Acc: 0.8078
[Ideal_FP32 | Seed 1] Epoch 2/30 - Acc: 0.8772
[Ideal_FP32 | Seed 1] Epoch 3/30 - Acc: 0.9008
[Ideal_FP32 | Seed 1] Epoch 4/30 - Acc: 0.9127
[Ideal_FP32 | Seed 1] Epoch 5/30 - Acc: 0.9223
[Ideal_FP32 | Seed 1] Epoch 6/30 - Acc: 0.9272
[Ideal_FP32 | Seed 1] Epoch 7/30 - Acc: 0.9302
[Ideal_FP32 | Seed 1] Epoch 8/30 - Acc: 0.9346
[Ideal_FP32 | Seed 1] Epoch 9/30 - Acc: 0.9382
[Ideal_FP32 | Seed 1] Epoch 10/30 - Acc: 0.9405
[Ideal_FP32 | Seed 1] Epoch 11/30 - Acc: 0.9419
[Ideal_FP32 | Seed 1] Epoch 12/30 - Acc: 0.9444
[Ideal_FP32 | Seed 1] Epoch 13/30 - Acc: 0.9465
[Ideal_FP32 | Seed 1] Epoch 14/30 - Acc: 0.9492
[Ideal_FP32 | Seed 1] Epoch 15/30 - Acc: 0.9503
[Ideal_FP32 | Seed 1] Epoch 16/30 - Acc: 0.9537
[Ideal_FP32 | Seed 1] Epoch 17/30 - Acc: 0.9523
[Ideal_FP32 | Seed 1] Epoch 18/30 - Acc: 0.9540
[Ideal_FP32 | Seed 1] Epoch 19/30 - Acc: 0.9548
[Ideal_FP32 | Seed 1] Epoch 20/30 - Acc: 0.9560
[Ideal_FP32 | Seed 1] Epoch 21/30 - Acc: 0.9556
[Ideal_FP32 | Seed 1] Epoch 22/30 - Acc: 0.9561
[Ideal_FP32 | Seed 1] Epoch 23/30 - Acc: 0.9568
[Ideal_FP32 | Seed 1] Epoch 24/30 - Acc: 0.9586
[Ideal_FP32 | Seed 1] Epoch 25/30 - Acc: 0.9578
[Ideal_FP32 | Seed 1] Epoch 26/30 - Acc: 0.9582
[Ideal_FP32 | Seed 1] Epoch 27/30 - Acc: 0.9598
[Ideal_FP32 | Seed 1] Epoch 28/30 - Acc: 0.9593
[Ideal_FP32 | Seed 1] Epoch 29/30 - Acc: 0.9605
[Ideal_FP32 | Seed 1] Epoch 30/30 - Acc: 0.9609
[Ideal_FP32 | Seed 2] Epoch 1/30 - Acc: 0.7415
[Ideal_FP32 | Seed 2] Epoch 2/30 - Acc: 0.7947
[Ideal_FP32 | Seed 2] Epoch 3/30 - Acc: 0.8167
[Ideal_FP32 | Seed 2] Epoch 4/30 - Acc: 0.8259
[Ideal_FP32 | Seed 2] Epoch 5/30 - Acc: 0.8318
[Ideal_FP32 | Seed 2] Epoch 6/30 - Acc: 0.8362
[Ideal_FP32 | Seed 2] Epoch 7/30 - Acc: 0.8414
